Name,Rating,Directed By,Runtime,Studio,TOMATOMETER score,TOMATOMETER Count,AUDIENCE score,AUDIENCE count
Little Woods, R (for language and some drug material), Nia DaCosta,   103 minutes    , NEON  ,  96%    ,    94  ,  54%    , 218
Missing Link, PG (for action/peril and some mild rude humor), Chris Butler,   95 minutes    , Annapurna Pictures  ,  89%    ,    160  ,  67%    , 828
The Public," PG-13 (for thematic material, nudity, language, and some suggestive content)", Emilio Estevez,   122 minutes    , Universal Pictures  ,  65%    ,    91  ,  79%    , 202
After, PG-13 (for sexual content and some college partying), Jenny Gage,   106 minutes    , Aviron Pictures  ,  17%    ,    35  ,  71%    ," 2,458"
Skin in the Game, NR, Adisa ,   90 minutes    , Kandoo Films  ,  67%    ,    6  ,  64%    , 11
The Best of Enemies," PG-13 (for thematic material, racial epithets, some violence and a suggestive reference)", Robin Bissell,   132 minutes    , STXfilms  ,  53%    ,    77  ,  76%    , 477
An Acceptable Loss, R (for language and brief sexuality), Joe Chappelle,   102 minutes    , IFC Films  ,  13%    ,    32  ,  77%    , 94
Mia and the White Lion," PG (for thematic elements, peril and some language)", Gilles de Maistre,   98 minutes    , Ledafilms Entertainment Group  ,  88%    ,    17  ,  56%    , 62
Summer Night, NR, Joseph Cross,   98 minutes    , Samuel Goldwyn Films  ,  55%    ,    20  ,  39%    , 18
Trespassers, NR, Orson Oblowitz,   88 minutes    , IFC Midnight  ,  59%    ,    29  ,  31%    , 29
Saving Zoë," R (for disturbing violence/rape, nudity, language, drug use, drinking, and brief sexuality - all involving teens)", Jeffrey G. Hunt,   95 minutes    , Blue Fox Entertainment  ,  0%    ,    6  ,  49%    , 57
Miss Arizona, NR, Autumn McAlpin,   94 minutes    , Cinedigm  ,  50%    ,    6  ,  57%    , 7
Aziz Ansari: Right Now, NR, Spike Jonze,   65 minutes    , Netflix  ,  84%    ,    31  ,  73%    , 75
Between the Lines, R, Joan Micklin Silver,   101 minutes    , Cohen Media Group  ,  92%    ,    13  ,  54%    , 117
Wonder Park, PG (for some mild thematic elements and action)," Josh Appelbaum,  André Nemec,  Robert Gordon",   86 minutes    , Paramount Animation  ,  34%    ,    104  ,  44%    , 641
Under the Silver Lake," R (for strong sexual content, graphic nudity, violence, language throughout and some drug use)", David Robert Mitchell,   139 minutes    , A24  ,  58%    ,    148  ,  55%    , 471
Euphoria, R (for language and some sexual content), Lisa Langseth,   98 minutes    , Freestyle Releasing  ,  19%    ,    26  ,  38%    , 32
Burn Your Maps," PG-13 (for thematic elements including some mature sexual material, and brief strong language)", Jordan Roberts,   102 minutes    , Vertical Entertainment  ,  64%    ,    14  ,  83%    , 47
The Aftermath," R (for sexual content/nudity, and violence including some disturbing images)", James Kent,   108 minutes    , Fox Searchlight Pictures  ,  27%    ,    146  ,  50%    , 334
May It Last: A Portrait of the Avett Brothers, NR," Judd Apatow,  Michael Bonfiglio",   104 minutes    , Apatow Productions  ,  89%    ,    9  ,  98%    , 300
Dumbo," PG (for peril/action, some thematic elements, and brief mild language)", Tim Burton,   112 minutes    , Walt Disney Pictures  ,  47%    ,    352  ,  49%    ," 4,314"
Maze, NR, Stephen Burke,   92 minutes    , Lightyear Entertainment  ,  100%    ,    12  ,  49%    , 55
Swinging Safari," R (for sexual content, language and some underage drinking)", Stephan Elliott,   97 minutes    , Blue Fox Entertainment  ,  77%    ,    26  ,  57%    , 23
"Hale County This Morning, This Evening", NR, RaMell Ross,   76 minutes    , The Cinema Guild  ,  97%    ,    68  ,  37%    , 195
Transit, NR, Christian Petzold,   101 minutes    , Music Box Films  ,  94%    ,    169  ,  64%    , 157
High Life," R (for disturbing sexual and violent content including sexual assault, graphic nudity, and for language)", Claire Denis,   110 minutes    , A24  ,  82%    ,    223  ,  42%    , 912
Little, PG-13 (for some suggestive content), Tina Gordon Chism,   108 minutes    , Universal Pictures  ,  47%    ,    151  ,  60%    ," 1,375"
Perfect, NR, Eddie Alcazar,   87 minutes    , Brainfeeder Films  ,  17%    ,    12  ,  54%    , 13
Beats, NR, Chris Robinson,   120 minutes    , Netflix  ,  89%    ,    9  ,  57%    , 96
Nightmare Cinema," R (for horror violence/gore, grisly images, language, some sexuality and brief nude images)"," Alejandro Brugués,  Joe Dante,  Ryuhei Kitamura,  David Slade,  Mick Garris",   119 minutes    , Cranked Up Productions  ,  77%    ,    44  ,  46%    , 152
The Beach Bum," R (for pervasive drug and alcohol use, language throughout, nudity and some strong sexual content)", Harmony Korine,   95 minutes    , NEON  ,  56%    ,    117  ,  29%    , 661
Giant Little Ones," R (for sexual content, language and some drug/alcohol use - all involving teens)", Keith Behrman,   93 minutes    , Vertical Entertainment  ,  93%    ,    56  ,  83%    , 194
Hotel Mumbai," R (for disturbing violence throughout, bloody images, and language)", Anthony Maras,   123 minutes    , Bleecker Street  ,  76%    ,    204  ,  86%    , 912
The Hummingbird Project, R (for language throughout), Kim Nguyen (IV),   111 minutes    , The Orchard  ,  57%    ,    115  ,  51%    , 193
The Command (Kursk)," PG-13 (for some intense disaster-related peril and disturbing images, and for brief strong language)", Thomas Vinterberg,   117 minutes    , Saban Films  ,  69%    ,    49  ,  59%    , 88
Ghost Light, NR, John Stimpson,   100 minutes    , Giant Pictures  ,  74%    ,    23  ,  65%    , 21
Run the Race, PG (for thematic content and some teen partying), Chris Dowling,   101 minutes    , Roadside Attractions  ,  40%    ,    10  ,  84%    , 323
The Edge of Democracy, NR, Petra Costa,   113 minutes    , Netflix  ,  97%    ,    33  ,  67%    , 551
The Wolf's Call (Le chant du loup), NR, Antonin Baudry,   116 minutes    , Netflix  ,  92%    ,    12  ,  69%    , 116
The Quiet One, NR, Oliver Murray,   98 minutes    , IFC Films  ,  67%    ,    33  ,  88%    , 8
Killers Anonymous," R (for bloody violence, and pervasive language including some sexual references)", Martin Owen,   96 minutes    , Lionsgate  ,  0%    ,    9  ,  19%    , 77
The Poison Rose, R (for some violence and language), George Gallo,   98 minutes    , Lionsgate  ,  0%    ,    6  ,  24%    , 144
Captain Marvel," PG-13 (for sequences of sci-fi violence and action, and brief suggestive language)"," Anna Boden,  Ryan Fleck",   128 minutes    , Marvel Studios  ,  78%    ,    504  ,  48%    ," 94,729"
Katie Says Goodbye, NR, Wayne Roberts,   86 minutes    , Vertical Entertainment  ,  42%    ,    19  ,  75%    , 88
SoulMate, NR, Derek Tsang,   109 minutes    , Cheng Cheng Films  ,  100%    ,    8  ,  78%    , 136
Hampstead, PG-13 (for some suggestive material and language), Joel Hopkins,   103 minutes    , IFC Films  ,  44%    ,    59  ,  40%    , 407
Captive State," PG-13 (for sci-fi violence and action, some sexual content, brief language and drug material)", Rupert Wyatt,   109 minutes    , Focus Features  ,  43%    ,    74  ,  37%    , 710
Tyler Perry's A Madea Family Funeral," PG-13 (for crude sexual content, language, and drug references throughout)", Tyler Perry,   109 minutes    , Lionsgate  ,  12%    ,    34  ,  30%    , 711
Wonders of the Sea, NR," Jean-Jacques Mantello,  Jean-Michel Cousteau",   82 minutes    , Fathom Events  ,  76%    ,    17  ,  100%    , 14
Momentum Generation, NR," Jeff Zimbalist,  Michael Zimbalist",   103 minutes    , HBO Sports  ,  100%    ,    6  ,  100%    , 53
Five Feet Apart," PG-13 (for thematic elements, language and suggestive material)", Justin Baldoni,   120 minutes    , CBS Films  ,  54%    ,    117  ,  79%    , 824
Head Count, NR, Elle Callahan,   90 minutes    , Samuel Goldwyn Films  ,  65%    ,    17  ,  44%    , 132
Leprechaun Returns, R (for horror violence/gore and some sexual references), Steven Kostanski,   92 minutes    , Lionsgate  ,  38%    ,    8  ,  48%    , 122
The Mustang," R (for language, some violence and drug content)", Laure de Clermont-Tonnerre,   96 minutes    , Focus Features  ,  94%    ,    127  ,  74%    , 432
I Am Mother, NR, Grant Sputore,   114 minutes    , Netflix  ,  90%    ,    72  ,  76%    , 887
Framing John DeLorean, NR," Don Argott,  Sheena M. Joyce",   109 minutes    , IFC Films  ,  89%    ,    45  ,  75%    , 91
Plus One, NR," Jeff Chan,  Andrew Rhymer",   99 minutes    , RLJE Films  ,  88%    ,    60  ,  81%    , 315
Batman vs Teenage Mutant Ninja Turtles, PG-13 (for fantasy violence), Jake Castorena,   90 minutes    , Warner Bros.  ,  100%    ,    12  ,  84%    , 202
The Child Remains, NR, Michael Melski,   112 minutes    , Uncork'd Entertainment  ,  0%    ,    6  ,  38%    , 8
All Is Well (Alles ist gut), NR, Eva Trobisch,   90 minutes    , Netflix  ,  100%    ,    11  ,  67%    , 12
How to Train Your Dragon: The Hidden World, PG (for adventure action and some mild rude humor), Dean DeBlois,   110 minutes    , Universal Pictures  ,  91%    ,    254  ,  86%    ," 56,128"
Mapplethorpe, NR, Ondi Timoner,   95 minutes    , Samuel Goldwyn Films  ,  30%    ,    50  ,  64%    , 43
The Upside, PG-13 (for suggestive content and drug use), Neil Burger,   126 minutes    , STXfilms  ,  41%    ,    176  ,  82%    ," 3,989"
Tater Tot & Patton, NR, Andrew Kightlinger,   91 minutes    , Bunker 15 Films  ,  85%    ,    20  ,  89%    , 42
See You Yesterday, NR, Stefon Bristol,   80 minutes    , Netflix  ,  95%    ,    38  ,  34%    , 188
Funny Story, NR, Michael J. Gallagher,   85 minutes    , Blue Fox Entertainment  ,  83%    ,    18  ,  72%    , 46
Say Her Name: The Life and Death of Sandra Bland, NR, David Heilbroner,   103 minutes    , HBO  ,  100%    ,    10  ,  53%    , 28
Always Be My Maybe," PG-13 (for sexual content, drug use/references, and language)", Nahnatchka Khan ,   102 minutes    , Netflix  ,  89%    ,    90  ,  81%    ," 1,770"
Rim of the World, NR, McG,   120 minutes    , Netflix  ,  23%    ,    13  ,  27%    , 169
Apollo 11, G, Todd Douglas Miller,   93 minutes    , NEON  ,  99%    ,    177  ,  90%    , 954
Cold Pursuit," R (for strong violence, drug material, and some language including sexual references)", Hans Petter Moland,   118 minutes    , Summit Entertainment  ,  69%    ,    178  ,  50%    ," 2,499"
Gloria Bell," R (for sexuality, nudity, language and some drug use)", Sebastián Lelio,   102 minutes    , A24  ,  91%    ,    194  ,  44%    , 569
Greta, R (for some violence and disturbing images), Neil Jordan,   98 minutes    , Focus Features  ,  60%    ,    257  ,  42%    , 838
ANIARA," R (for strong sexual content, graphic nudity, disturbing images, and drug use)"," Pella Kågerman,  Hugo Lilja",   106 minutes    , Magnet Releasing  ,  70%    ,    47  ,  61%    , 82
Starfish, NR," A.T. White,  A..T. White",   99 minutes    , We Are Tessellate  ,  90%    ,    59  ,  47%    , 123
The Perfection, NR, Richard Shepard,   90 minutes    , Netflix  ,  73%    ,    90  ,  58%    , 416
Happy Death Day 2U," PG-13 (for violence, language, sexual material and thematic elements)"," Feb 13, 2019 wide",   120 minutes    , Universal Pictures  ,  70%    ,    197  ,  58%    ," 2,785"
The Brink, NR, Alison Klayman,   90 minutes    , Magnolia Pictures  ,  84%    ,    99  ,  56%    , 39
The Kid, R (for violence and language), Vincent D'Onofrio,   99 minutes    , Lionsgate  ,  45%    ,    40  ,  46%    , 231
Avengement, NR, Jesse V. Johnson,   87 minutes    , Samuel Goldwyn Films  ,  83%    ,    18  ,  70%    , 132
Isabelle, NR, Robert Heydon,   81 minutes    , Vertical Entertainment  ,  8%    ,    13  ,  22%    , 9
The Professor," R (for language, sexual content and some drug use)", Wayne Roberts,   91 minutes    , Saban Films  ,  10%    ,    20  ,  76%    , 430
Domino," R (for strong violence, some language and brief nudity)", Brian DePalma,   88 minutes    , Saban Films  ,  33%    ,    69  ,  18%    , 71
The LEGO Movie 2: The Second Part, PG (for mild action and rude humor), Mike Mitchell,   90 minutes    , Warner Bros. Pictures  ,  85%    ,    283  ,  68%    ," 28,524"
The Great Buddha+, NR, Hsin-yao Huang,   104 minutes    , Cheng Cheng Films  ,  88%    ,    17  ,  82%    , 124
What Men Want," R (for language and sexual content throughout, and some drug material)", Adam Shankman,   117 minutes    , Paramount Pictures  ,  42%    ,    139  ,  33%    ," 2,017"
Blaze," R (for language throughout, some sexual content and drug use)", Ethan Hawke,   127 minutes    , Sundance Selects  ,  95%    ,    88  ,  71%    , 816
Scary Stories, NR, Cody Meirick,   82 minutes    , Wild Eye Selects  ,  80%    ,    10  ,  70%    , 46
Serenity," R (for language throughout, sexual content, and some bloody images)", Steven Knight,   106 minutes    , Aviron Pictures  ,  20%    ,    186  ,  29%    ," 1,436"
In Search of Greatness, PG-13 (for brief language and some partial nudity), Gabe Polsky,   80 minutes    , AOS  ,  90%    ,    20  ,  85%    , 92
Everybody Knows (Todos lo saben), R (for some language), Asghar Farhadi,   132 minutes    , Focus Features  ,  78%    ,    175  ,  61%    , 611
Arctic, PG-13 (for language and some bloody images), Joe Penna,   98 minutes    , Bleecker Street  ,  89%    ,    141  ,  79%    ," 1,808"
Lost & Found, NR, Liam O Mochain,   92 minutes    , Gravitas Ventures  ,  73%    ,    15  ,  38%    , 8
The Prodigy," R (for violence, disturbing and bloody images, a sexual reference and brief graphic nudity)", Nicholas McCarthy,   92 minutes    , Orion Pictures  ,  42%    ,    78  ,  37%    , 842
The Last Summer, NR, William Bindley,   105 minutes    , Netflix  ,  17%    ,    6  ,  28%    , 47
J.T. LeRoy," R (for language throughout, sexual content and brief nudity.)", Justin Kelly,   108 minutes    , Universal Pictures  ,  55%    ,    83  ,  40%    , 47
Dragged Across Concrete," R (for strong violence, grisly images, language, and some sexuality/nudity)", S. Craig Zahler,   158 minutes    , Summit Entertainment  ,  75%    ,    136  ,  69%    , 598
Clara, NR, Akash Sherman,   105 minutes    , Serendipity Point Films  ,  48%    ,    23  ,  90%    , 73
"Extremely Wicked, Shockingly Evil and Vile"," R (for disturbing/violent content, some sexuality, nudity and language)", Joe Berlinger,   110 minutes    , Netflix  ,  55%    ,    178  ,  57%    ," 1,268"
Knock Down the House," PG (for thematic elements, language and brief smoking)", Rachel Lears,   86 minutes    , Netflix  ,  100%    ,    102  ,  18%    ," 2,808"
Wine Country," R (for crude sexual content, language and some drug material)", Amy Poehler,   100 minutes    , Netflix  ,  66%    ,    83  ,  30%    , 412
Body at Brighton Rock, R (for language and some bloody images), Roxanne Benjamin,   87 minutes    , Magnolia Pictures  ,  66%    ,    41  ,  21%    , 57
I Trapped The Devil, NR, Josh Lobo,   84 minutes    , IFC Midnight  ,  75%    ,    36  ,  38%    , 85
Room for Rent, NR, Tommy Stovall,   82 minutes    , Uncork'd Entertainment  ,  82%    ,    11  ,  55%    , 60
I'll Take Your Dead, NR, Chad Archibald,   83 minutes    , SHOUT! STUDIOS  ,  64%    ,    14  ,  54%    , 41
The Man Who Killed Don Quixote, NR, Terry Gilliam,   132 minutes    , Screen Media Films  ,  63%    ,    119  ,  64%    , 393
Mary Magdalene, R (for some bloody and disturbing images), Garth Davis,   120 minutes    , IFC Films  ,  45%    ,    110  ,  48%    , 214
Glass," PG-13 (for violence including some bloody images, thematic elements, and language)", M. Night Shyamalan,   110 minutes    , Universal Pictures  ,  37%    ,    373  ,  68%    ," 12,305"
Holmes and Watson," PG-13 (for crude sexual material, some violence, language and drug references)", Etan Cohen,   89 minutes    , Columbia Pictures  ,  10%    ,    77  ,  26%    ," 3,778"
Hagazussa: A Heathen's Curse (Hagazussa), NR, Lukas Feigelfeld,   102 minutes    , Doppelgänger Releasing  ,  96%    ,    23  ,  47%    , 109
Destroyer," R (for language throughout, violence, some sexual content and brief drug use)", Karyn Kusama,   123 minutes    , Annapurna Pictures  ,  74%    ,    259  ,  50%    ," 1,263"
On the Basis of Sex, PG-13 (for some language and suggestive content), Mimi Leder,   120 minutes    , Focus Features  ,  73%    ,    245  ,  76%    ," 2,145"
The Aspern Papers, R (for some sexuality/nudity), Julien Landais,   90 minutes    , Cohen Media Group  ,  19%    ,    21  ,  31%    , 31
